tier,title,slot
0,A,a
0,Primitive Vibes,a
0,Ristaccia,a
0,SPECIAL SUMMER CAMPAIGN!,a
0,Apocalypse,a
0,Arca,a
0,encounter,a
0,F,a
0,gigadelic,h
0,gigadelic,a
0,Innocent Walls,h
0,invoker,a
0,LASER CRUSTER,a
0,LIGHTNING STRIKES,a
0,Little Star,a
0,moon_child,a
0,NINJA IS DEAD IIDX ver.,a
0,Raspberry Railgun,a
0,sakura storm,a
0,SCREAM SQUAD,a
0,Steel Edge,a
0,Symmetry,a
0,TROOPERS,a
0,Venom,a
0,ΕΛΠΙΣ,a
0,黒髪乱れし修羅となりて,a
0,雪月花,a
0,千年ノ理,a
0,紅牡丹,a
0,AA,a
0,ALBIDA,a
0,BIGソムタム,a
0,Broken,a
0,Carry Me Away,a
0,Concertino in Blue,a
0,Double Dribble,a
0,Drastic Dramatic,a
0,DRUNK MONKY,a
0,eRAseRmOToRpHAntOM,a
0,EVANESCENT,a
0,Fire Beat,a
0,FIRE FIRE,a
0,frequent,a
0,Highcharge Divolt,a
0,ICARUS,a
0,Innocent Walls,a
0,Liberation,a
0,Matt Silver,a
0,mosaic,a
0,No Border,a
0,one or eight,a
0,oratio,a
0,Pārvatī,a
0,Persephone,a
0,Please Welcome Mr.C,a
0,Rampage,a
0,Rave Cannon,a
0,SOLID STATE SQUAD,a
0,SpaceLand☆TOYBOX,a
0,Summerlights (IIDX Edition),a
0,The Least 100sec,a
0,The Sampling Paradise,a
0,Thunderbolt,a
0,TIEFSEE,a
0,Todestrieb,a
0,True Blue,a
0,V,a
0,VANESSA,a
0,カゴノトリ ～弐式～,a
0,九尾狐夜行,a
0,桜,a
0,少年A,a
0,電人、暁に斃れる。,a
0,刃図羅,a
0,Adularia,a
0,AKASHIC BREAK,a
0,Ancient Scapes,a
0,B.O.D.Y.,a
0,Caterpillar,a
0,Colors (radio edit),a
0,dAuntl3ss,a
0,Dr. Chemical & Killing Machine,a
0,DUE TOMORROW,a
0,Evans,a
0,Feel The Beat,a
0,Fegrix,a
0,fffff,a
0,Friction[!]Function,a
0,FUZIN RIZIN,a
0,GAIA,a
0,Ghost Pulse,a
0,GOLDEN CROSS,a
0,Gravigazer,a
0,Idola,a
0,JUSTICE/GUILTY feat. Nana Takahashi & 709sec.,a
0,L.F.O,a
0,Last Dance,a
0,Lethal Weapon,a
0,LIVE DRIVING!! feat. 花たん,a
0,Megalara Garuda,a
0,Meissa,a
0,Nightmare before oversleep,a
0,NNRT,a
0,PLEASE DON'T GO,a
0,POSSESSION,a
0,PUNISHER,a
0,RAIN,a
0,Rave Patroller,a
0,Say YEEEAHH,a
0,Scripted Connection⇒ A mix,a
0,Silver Bullet,a
0,Sol Cosine Job 2,a
0,SOLID STATE SQUAD -RISEN RELIC REMIX-,a
0,Sounds Of Summer,a
0,TECHNO Style Essentials,a
0,Vinculum stellarum,a
0,Viridian,a
0,WONDER WALKER,a
0,ZZ,a
0,イザナミノナゲキ,a
0,シュレーディンガーの猫,a
0,スーパー戦湯ババンバーン,a
0,トリカゴノ鳳凰,a
0,めいさいアイドル☆あいむちゃん♪,a
0,紫陽花 -AZISAI-,a
0,天邪鬼,a
0,狂イ咲ケ焔ノ華,a
0,恋する☆宇宙戦争っ!!,a
0,最小三倍完全数,a
0,旋律のドグマ ～Misérables～,a
0,即席！脳直★ミュージックシステム,a
0,夏色DIARY - L.E.D.-G STYLE MIX -,a
0,表裏一体!?怪盗いいんちょの悩み♥,a
0,禊,a
0,海神,a
0,〆,a
1,AA -rebuild-,a
1,Aftermath,a
1,Angel's Ladder,a
1,AO-1,a
1,BITTER CHOCOLATE STRIKER,a
1,Broken Sword,a
1,Candy Galy,a
1,cinder,a
1,Close the World feat.a☆ru,a
1,CODE:1 [revision1.0.1],a
1,Colorful Cookie,a
1,Dahlia,a
1,Dances with Snow Fairies,a
1,DARK LEGACY,a
1,DOMINION,a
1,EBONY & IVORY,a
1,entelecheia,a
1,FAKE TIME,a
1,FANTASTIC THREE,a
1,Flying Castle,a
1,GAME ON,a
1,GENE,a
1,HARD BRAIN,a
1,IMPLANTATION,a
1,innocent revolver,a
1,Invitation from Mr.C,a
1,KILL EACH OTHER,a
1,Konzert V,a
1,LOST TECHNOLOGIE,a
1,M4K3 1T B0UNC3,a
1,NEO GENERATOR SEVEN,a
1,neu,a
1,New Castle Legions,a
1,One for All,a
1,ONIGOROSHI,a
1,OTENAMI Hurricane,a
1,Proof of the existence,a
1,Push on Beats! ～音ゲの国のeX-ストリーマー～,a
1,quaver♪,a
1,refrain,a
1,rommmo,a
1,ruin of opals,a
1,SAY BAY,a
1,Sense 2007,a
1,Smalt #28598F,a
1,Super Rush,a
1,T-REX vs Velociraptor (In the Far east euphoria),a
1,THE DAY OF JUBILATIONS,a
1,TOGAKUSHI,a
1,Triple Cross,a
1,Valanga,a
1,Vitrum,a
1,#MAGiCVLGiRL_TRVP_B3VTZ,a
1,アストライアの双皿,a
1,それは花火のような恋,a
1,たまゆら,a
1,リリーゼと炎龍レーヴァテイン,a
1,ワルツ第17番 ト短調"大犬のワルツ",a
1,疾風迅雷,a
1,深淵に捧ぐレクイエム,a
1,神謳 -RESONANCE-,a
1,聖人の塔,a
1,童話回廊,a
1,儚キ戀ノ幻想譚,a
1,不沈艦CANDY,a
1,魔法のかくれんぼ,a
1,摩天楼,a
1,anthracene,a
1,Arkadia,a
1,ASIAN VIRTUAL REALITIES (MELTING TOGETHER IN DAZZLING DARKNESS),a
1,BLUE DRAGON (雷龍RemixIIDX),a
1,DEADHEAT,a
1,Devilz Staircase,a
1,DropZ-Line-,a
1,DUAL STRIKER,a
1,Godspeed,a
1,Grand Chariot,a
1,GRAVITON,a
1,Illusionary Waterlily,a
1,INSOMNIA,a
1,LASER CRUSTER (IGNITE REMIX),a
1,Level 2,a
1,Monopole.,a
1,NITROUS CANNON,a
1,One More Lovely,a
1,ORCA,a
1,Papilio ulysses,a
1,PLASMA SOUL NIGHT feat. Nana Takahashi / 709sec.,a
1,ra'am,a
1,Session 9 -Chronicles-,a
1,Shooting Fireball,a
1,Skreaming for Salvation,a
1,Sky High,a
1,Slipstream,a
1,StrayedCatz,a
1,STULTI,a
1,SYNC-ANTHEM,a
1,The Limbo,a
1,Timepiece phase II,a
1,TOXIC VIBRATION,a
1,Trill auf G,a
1,Visterhv,a
1,We're so Happy (P*Light Remix) IIDX ver.,a
1,X,a
1,YAKSHA,a
1,子供の落書き帳,a
1,少年は空を辿る,a
1,雪上断火,a
1,抱きしめてモナムール,a
1,轟け！恋のビーンボール！！,a
1,†渚の小悪魔ラヴリィ～レイディオ† (IIDX EDIT),a
1,焱影,a
1,魅惑のYUMMYスイーツ,a
1,ABSOLUTE EVIL,a
1,ANCHOR,a
1,Antigravity,a
1,Artist,a
1,Bad Maniacs,a
1,BEAT PRISONER,a
1,BLACK or WHITE?,a
1,BLUE MIRAGE,a
1,Boomy and The Boost,a
1,COSMIC RAY,a
1,DAY DREAM,a
1,Despair of ELFERIA,a
1,Devil's Gear,a
1,DORNWALD ～Junge～,a
1,Empire of Fury,a
1,EXUSIA,a
1,fallen leaves -IIDX edition-,a
1,Flashes,a
1,G59,a
1,HADES,a
1,HAERETICUS,a
1,Hollywood Galaxy,a
1,Inferno of Fomalhaut,a
1,JOMANDA,a
1,Life Is A Game ft.DD"ナカタ"Metal,a
1,Mächö Mönky,a
1,MENDES,a
1,Painful Fate,a
1,PARANOiA ～HADES～,a
1,quell ～the seventh slave～,a
1,rage against usual,a
1,Red. by Full Metal Jacket,a
1,reunion,a
1,Snakey Kung-fu,a
1,THE BRAVE MUST DIE,a
1,The Rebellion of Sequencer,a
1,Tiempo Loco,a
1,Triple Counter,a
1,TRIUMPH,a
1,Watch Out Pt.2,a
1,Xlø,a
1,Xperanza,a
1,199024club -Re:BounceKiller-,a
1,キャトられ♥恋はモ～モク,a
1,ピアノ協奏曲第１番"蠍火",a
1,ピアノ協奏曲第１番"蠍火" (BlackY Remix),a
1,華麗なる大犬円舞曲,a
1,閠槞彁の願い,a
1,水鏡の異界,a
1,世界の果てに約束の凱歌を -ReUnion-,a
1,津軽雪,a
1,伐折羅 -vajra-,a
1,烽火連天の刃,a
2,ALTERNATOR,a
2,Blue Spring Express,a
2,DEATH†ZIGOQ ～怒りの高速爆走野郎～,a
2,DIAMOND CROSSING,a
2,Don't believe the hype,a
2,Dynamite,a
2,GiGaGaHell,a
2,GuNGNiR,a
2,Initiation,a
2,KAISER PHOENIX,a
2,LOCUS OF THE TRAVEL,a
2,PARADISE LOST,a
2,Purple Perplex,a
2,Quakes,a
2,Rave*it!! Rave*it!!,a
2,Reflux,a
2,SCREW // owo // SCREW,a
2,Smashing Wedge,a
2,Snake Stick,a
2,TECHNOPHOBIA,a
2,THE F∀UST,a
2,TOMAHAWK,a
2,Unbelief,a
2,Verflucht,a
2,voltississimo,a
2,VOX UP,a
2,Zirkfied,a
2,-65℃,a
2,255,a
2,∀,a
2,お菓子の王国,a
2,がっつり陰キャ!?怪盗いいんちょの億劫^^;,a
2,シムルグの目醒め,a
2,バッド・スイーツ、バッド・ドリーム,a
2,音楽,a
2,金野火織の金色提言,a
2,真 地獄超特急 -HELL or HELL-,a
2,天空の夜明け,a
2,東京神話,a
2,二人ノ廃城幽踊宴,a
2,Almagest,a
2,Bad Encryption,a
2,Binary Black Hole,a
2,BLACK.by X-Cross Fade,a
2,Carmina,a
2,Confiserie,a
2,Dans la nuit de l'éternité,a
2,ECHIDNA,a
2,Elemental Creation,a
2,EMERALDAS,a
2,Everlasting Message,a
2,Fascination MAXX,a
2,GO OVER WITH GLARE -ROOTAGE 26-,a
2,hard-wired,a
2,Ignis†Iræ,a
2,IX,a
2,Level One,a
2,Level 3,a
2,Lords Of The Roundtable,a
2,MEGAERA,a
2,NZM,a
2,perditus†paradisus,a
2,Red. by Jack Trance,a
2,Sigmund,a
2,SOLAR ECLIPSE,a
2,The Chase,a
2,THE PEERLESS UNDER HEAVEN,a
2,WHA,a
2,Y&Co. is dead or alive,a
2,ピアノ独奏無言歌 "灰燼",a
2,駅猫のワルツ,a
2,焔極OVERKILL,a
2,共鳴遊戯の華,a
2,嘆きの樹,a
2,煉獄のエルフェリア,a
2,Chrono Diver -PENDULUMs-,a
2,DIAVOLO,a
2,EROICA,a
2,Go Ahead!!,a
2,Go Beyond!!,a
2,Mare Nectaris,a
2,n/a,a
2,Plan 8,a
2,RAGE feat.H14 of LEONAIR,a
2,Sinus Iridum,a
2,Thor's Hammer,a
2,Timepiece phase II (CN Ver.),a
2,Χ-DEN,a
2,3y3s,a
2,ディスコルディア,a
2,灼熱Beach Side Bunny,a
2,灼熱 Pt.2 Long Train Running,a
2,卑弥呼,a
2,冥,a